"uid" "id" "ensembleid" "symbol"
293 "695" "9606.ENSP00000308176" "BTK"
294 "696" "9606.ENSP00000244513" "BTN1A1"
295 "699" "9606.ENSP00000302530" "BUB1"
296 "705" "9606.ENSP00000230340" "BYSL"
297 "706" "9606.ENSP00000328973" "TSPO"
298 "708" "9606.ENSP00000225698" "C1QBP"
299 "710" "9606.ENSP00000278407" "SERPING1"
300 "712" "9606.ENSP00000363773" "C1QA"
301 "713" "9606.ENSP00000313967" "C1QB"
302 "714" "9606.ENSP00000363768" "C1QC"
303 "718" "9606.ENSP00000245907" "C3"
304 "719" "9606.ENSP00000302079" "C3AR1"
305 "722" "9606.ENSP00000356037" "C4BPA"
306 "725" "9606.ENSP00000243611" "C4BPB"
307 "726" "9606.ENSP00000278559" "CAPN5"
308 "727" "9606.ENSP00000223642" "C5"
309 "728" "9606.ENSP00000347197" "C5AR1"
310 "729" "9606.ENSP00000263413" "C6"
311 "730" "9606.ENSP00000322061" "C7"
312 "731" "9606.ENSP00000354458" "C8A"
313 "732" "9606.ENSP00000360281" "C8B"
314 "733" "9606.ENSP00000224181" "C8G"
315 "735" "9606.ENSP00000263408" "C9"
316 "745" "9606.ENSP00000278836" "MYRF"
317 "759" "9606.ENSP00000256119" "CA1"
318 "760" "9606.ENSP00000285379" "CA2"
319 "761" "9606.ENSP00000285381" "CA3"
320 "768" "9606.ENSP00000367608" "CA9"
321 "773" "9606.ENSP00000353362" "CACNA1A"
322 "774" "9606.ENSP00000360406" "CACNA1B"
323 "775" "9606.ENSP00000266376" "CACNA1C"
324 "776" "9606.ENSP00000288139" "CACNA1D"
325 "779" "9606.ENSP00000355192" "CACNA1S"
326 "781" "9606.ENSP00000349320" "CACNA2D1"
327 "782" "9606.ENSP00000377840" "CACNB1"
328 "783" "9606.ENSP00000320025" "CACNB2"
329 "784" "9606.ENSP00000301050" "CACNB3"
330 "785" "9606.ENSP00000438949" "CACNB4"
331 "786" "9606.ENSP00000226021" "CACNG1"
332 "788" "9606.ENSP00000326305" "SLC25A20"
333 "790" "9606.ENSP00000264705" "CAD"
334 "793" "9606.ENSP00000265431" "CALB1"
335 "794" "9606.ENSP00000307508" "CALB2"
336 "795" "9606.ENSP00000369547" "S100G"
337 "799" "9606.ENSP00000352561" "CALCR"
338 "800" "9606.ENSP00000354826" "CALD1"
339 "801" "9606.ENSP00000272298" "CALM1"
340 "805" "9606.ENSP00000349467" "CALM2"
341 "810" "9606.ENSP00000315299" "CALML3"
342 "811" "9606.ENSP00000320866" "CALR"
343 "814" "9606.ENSP00000282356" "CAMK4"
344 "815" "9606.ENSP00000381412" "CAMK2A"
345 "816" "9606.ENSP00000379098" "CAMK2B"
346 "817" "9606.ENSP00000339740" "CAMK2D"
347 "818" "9606.ENSP00000319060" "CAMK2G"
348 "819" "9606.ENSP00000297156" "CAMLG"
349 "820" "9606.ENSP00000458149" "CAMP"
350 "821" "9606.ENSP00000247461" "CANX"
351 "823" "9606.ENSP00000279247" "CAPN1"
352 "824" "9606.ENSP00000295006" "CAPN2"
353 "826" "9606.ENSP00000246533" "CAPNS1"
354 "828" "9606.ENSP00000222125" "CAPS"
355 "831" "9606.ENSP00000379157" "CAST"
356 "834" "9606.ENSP00000410076" "CASP1"
357 "835" "9606.ENSP00000312664" "CASP2"
358 "836" "9606.ENSP00000311032" "CASP3"
359 "837" "9606.ENSP00000388566" "CASP4"
360 "839" "9606.ENSP00000265164" "CASP6"
361 "840" "9606.ENSP00000358327" "CASP7"
362 "842" "9606.ENSP00000330237" "CASP9"
363 "843" "9606.ENSP00000286186" "CASP10"
364 "845" "9606.ENSP00000261448" "CASQ2"
365 "846" "9606.ENSP00000420194" "CASR"
366 "847" "9606.ENSP00000241052" "CAT"
367 "857" "9606.ENSP00000339191" "CAV1"
368 "858" "9606.ENSP00000222693" "CAV2"
369 "859" "9606.ENSP00000341940" "CAV3"
370 "860" "9606.ENSP00000360493" "RUNX2"
371 "862" "9606.ENSP00000402257" "RUNX1T1"
372 "864" "9606.ENSP00000343477" "RUNX3"
373 "865" "9606.ENSP00000415151" "CBFB"
374 "866" "9606.ENSP00000342850" "SERPINA6"
375 "867" "9606.ENSP00000264033" "CBL"
376 "868" "9606.ENSP00000264122" "CBLB"
377 "869" "9606.ENSP00000219197" "CBLN1"
378 "871" "9606.ENSP00000350894" "SERPINH1"
379 "875" "9606.ENSP00000344460" "CBS"
380 "885" "9606.ENSP00000335657" "CCK"
381 "886" "9606.ENSP00000295589" "CCKAR"
382 "887" "9606.ENSP00000335544" "CCKBR"
383 "889" "9606.ENSP00000344668" "KRIT1"
384 "890" "9606.ENSP00000274026" "CCNA2"
385 "891" "9606.ENSP00000256442" "CCNB1"
386 "892" "9606.ENSP00000428982" "CCNC"
387 "894" "9606.ENSP00000261254" "CCND2"
388 "896" "9606.ENSP00000362082" "CCND3"
389 "898" "9606.ENSP00000262643" "CCNE1"
390 "899" "9606.ENSP00000380256" "CCNF"
391 "900" "9606.ENSP00000344635" "CCNG1"
392 "901" "9606.ENSP00000315743" "CCNG2"
393 "902" "9606.ENSP00000256897" "CCNH"
394 "904" "9606.ENSP00000261900" "CCNT1"
395 "905" "9606.ENSP00000264157" "CCNT2"
396 "910" "9606.ENSP00000357150" "CD1B"
397 "911" "9606.ENSP00000357152" "CD1C"
398 "912" "9606.ENSP00000357153" "CD1D"
399 "914" "9606.ENSP00000358490" "CD2"
400 "915" "9606.ENSP00000300692" "CD3D"
401 "916" "9606.ENSP00000354566" "CD3E"
402 "917" "9606.ENSP00000431445" "CD3G"
403 "919" "9606.ENSP00000354782" "CD247"
404 "920" "9606.ENSP00000011653" "CD4"
405 "921" "9606.ENSP00000342681" "CD5"
406 "924" "9606.ENSP00000312027" "CD7"
407 "925" "9606.ENSP00000283635" "CD8A"
408 "928" "9606.ENSP00000009180" "CD9"
409 "929" "9606.ENSP00000304236" "CD14"
410 "930" "9606.ENSP00000437940" "CD19"
411 "933" "9606.ENSP00000085219" "CD22"
412 "939" "9606.ENSP00000266557" "CD27"
413 "940" "9606.ENSP00000324890" "CD28"
414 "941" "9606.ENSP00000264246" "CD80"
415 "942" "9606.ENSP00000332049" "CD86"
416 "943" "9606.ENSP00000263932" "TNFRSF8"
417 "944" "9606.ENSP00000223795" "TNFSF8"
418 "945" "9606.ENSP00000262262" "CD33"
419 "947" "9606.ENSP00000310036" "CD34"
