Entrez_Gene_ID	STRING_Locus_ID
771	9606.ENSP00000178638
773	9606.ENSP00000353362
774	9606.ENSP00000360406
775	9606.ENSP00000266376
776	9606.ENSP00000288139
777	9606.ENSP00000356545
778	9606.ENSP00000365441
779	9606.ENSP00000355192
781	9606.ENSP00000349320
782	9606.ENSP00000377840
783	9606.ENSP00000320025
784	9606.ENSP00000301050
785	9606.ENSP00000438949
786	9606.ENSP00000226021
788	9606.ENSP00000326305
790	9606.ENSP00000264705
793	9606.ENSP00000265431
794	9606.ENSP00000307508
795	9606.ENSP00000369547
796	9606.ENSP00000331746
797	9606.ENSP00000346017
799	9606.ENSP00000352561
800	9606.ENSP00000354826
801	9606.ENSP00000272298
805	9606.ENSP00000349467
810	9606.ENSP00000315299
811	9606.ENSP00000320866
813	9606.ENSP00000420381
814	9606.ENSP00000282356
815	9606.ENSP00000381412
816	9606.ENSP00000379098
817	9606.ENSP00000339740
818	9606.ENSP00000319060
819	9606.ENSP00000297156
820	9606.ENSP00000458149
821	9606.ENSP00000247461
822	9606.ENSP00000263867
823	9606.ENSP00000279247
824	9606.ENSP00000295006
825	9606.ENSP00000380349
826	9606.ENSP00000246533
827	9606.ENSP00000317214
828	9606.ENSP00000222125
829	9606.ENSP00000263168
830	9606.ENSP00000354947
831	9606.ENSP00000379157
832	9606.ENSP00000264202
833	9606.ENSP00000369897
834	9606.ENSP00000410076
835	9606.ENSP00000312664
836	9606.ENSP00000311032
837	9606.ENSP00000388566
839	9606.ENSP00000265164
840	9606.ENSP00000358327
842	9606.ENSP00000330237
843	9606.ENSP00000286186
844	9606.ENSP00000357057
845	9606.ENSP00000261448
846	9606.ENSP00000420194
847	9606.ENSP00000241052
857	9606.ENSP00000339191
858	9606.ENSP00000222693
859	9606.ENSP00000341940
860	9606.ENSP00000360493
862	9606.ENSP00000402257
864	9606.ENSP00000343477
865	9606.ENSP00000415151
866	9606.ENSP00000342850
867	9606.ENSP00000264033
868	9606.ENSP00000264122
869	9606.ENSP00000219197
871	9606.ENSP00000350894
873	9606.ENSP00000290349
874	9606.ENSP00000290354
875	9606.ENSP00000344460
881	9606.ENSP00000334996
883	9606.ENSP00000302227
885	9606.ENSP00000335657
886	9606.ENSP00000295589
887	9606.ENSP00000335544
889	9606.ENSP00000344668
890	9606.ENSP00000274026
891	9606.ENSP00000256442
892	9606.ENSP00000428982
894	9606.ENSP00000261254
896	9606.ENSP00000362082
898	9606.ENSP00000262643
899	9606.ENSP00000380256
900	9606.ENSP00000344635
901	9606.ENSP00000315743
902	9606.ENSP00000256897
904	9606.ENSP00000261900
905	9606.ENSP00000264157
908	9606.ENSP00000275603
909	9606.ENSP00000289429
910	9606.ENSP00000357150
911	9606.ENSP00000357152
912	9606.ENSP00000357153
913	9606.ENSP00000357149
914	9606.ENSP00000358490
915	9606.ENSP00000300692
916	9606.ENSP00000354566
917	9606.ENSP00000431445
919	9606.ENSP00000354782
920	9606.ENSP00000011653
921	9606.ENSP00000342681
922	9606.ENSP00000357156
923	9606.ENSP00000323280
924	9606.ENSP00000312027
925	9606.ENSP00000283635
928	9606.ENSP00000009180
929	9606.ENSP00000304236
930	9606.ENSP00000437940
931	9606.ENSP00000314620
932	9606.ENSP00000278865
933	9606.ENSP00000085219
939	9606.ENSP00000266557
940	9606.ENSP00000324890
941	9606.ENSP00000264246
942	9606.ENSP00000332049
943	9606.ENSP00000263932
944	9606.ENSP00000223795
945	9606.ENSP00000262262
946	9606.ENSP00000401502
947	9606.ENSP00000310036
948	9606.ENSP00000308165
949	9606.ENSP00000261693
950	9606.ENSP00000264896
951	9606.ENSP00000325708
952	9606.ENSP00000226279
954	9606.ENSP00000347213
955	9606.ENSP00000365840
956	9606.ENSP00000301825
957	9606.ENSP00000335246
958	9606.ENSP00000361359
959	9606.ENSP00000359663
961	9606.ENSP00000355361
962	9606.ENSP00000357025
963	9606.ENSP00000271324
965	9606.ENSP00000358501
966	9606.ENSP00000340210
967	9606.ENSP00000257857
968	9606.ENSP00000250092
969	9606.ENSP00000228434
970	9606.ENSP00000245903
971	9606.ENSP00000259633
973	9606.ENSP00000221972
974	9606.ENSP00000376544
975	9606.ENSP00000263645
976	9606.ENSP00000242786
977	9606.ENSP00000324101
978	9606.ENSP00000364212
983	9606.ENSP00000378699
987	9606.ENSP00000349629
988	9606.ENSP00000360532
989	9606.ENSP00000381992
990	9606.ENSP00000209728
991	9606.ENSP00000308450
993	9606.ENSP00000303706
994	9606.ENSP00000245960
995	9606.ENSP00000321656
996	9606.ENSP00000434614
997	9606.ENSP00000215574
998	9606.ENSP00000314458
999	9606.ENSP00000261769
1000	9606.ENSP00000269141
1001	9606.ENSP00000264012
1002	9606.ENSP00000353656
1003	9606.ENSP00000344115
1004	9606.ENSP00000265071
1005	9606.ENSP00000319166
1006	9606.ENSP00000462701
1007	9606.ENSP00000231021
1008	9606.ENSP00000264463
1009	9606.ENSP00000268603
1010	9606.ENSP00000371689
1012	9606.ENSP00000408632
1013	9606.ENSP00000289746
1014	9606.ENSP00000299752
1015	9606.ENSP00000027335
1016	9606.ENSP00000274170
1017	9606.ENSP00000266970
1018	9606.ENSP00000400088
1019	9606.ENSP00000257904
1020	9606.ENSP00000419782
1021	9606.ENSP00000265734
1022	9606.ENSP00000256443
1024	9606.ENSP00000370938
1025	9606.ENSP00000362361
1026	9606.ENSP00000244741
1027	9606.ENSP00000228872
1028	9606.ENSP00000411552
1029	9606.ENSP00000394932
1030	9606.ENSP00000276925
1031	9606.ENSP00000262662
1032	9606.ENSP00000337056
1036	9606.ENSP00000250535
1038	9606.ENSP00000359563
1039	9606.ENSP00000268383
1040	9606.ENSP00000295887
1043	9606.ENSP00000363330
1044	9606.ENSP00000231656
1045	9606.ENSP00000370408
1046	9606.ENSP00000362613
1047	9606.ENSP00000326699
1048	9606.ENSP00000221992
1050	9606.ENSP00000427514
1051	9606.ENSP00000305422
1052	9606.ENSP00000386165
1053	9606.ENSP00000206513
1054	9606.ENSP00000284000
1056	9606.ENSP00000361151
1058	9606.ENSP00000336868
1059	9606.ENSP00000369075
1060	9606.ENSP00000273853
1062	9606.ENSP00000265148
1063	9606.ENSP00000355922
1066	9606.ENSP00000353720
1068	9606.ENSP00000319052
1069	9606.ENSP00000359300
1070	9606.ENSP00000283122
1071	9606.ENSP00000200676
1072	9606.ENSP00000309629
1073	9606.ENSP00000298159
1080	9606.ENSP00000003084
1081	9606.ENSP00000358595
1084	9606.ENSP00000349971
1087	9606.ENSP00000006724
1088	9606.ENSP00000244336
1089	9606.ENSP00000221954
1101	9606.ENSP00000258969
1102	9606.ENSP00000345144
1103	9606.ENSP00000337103
1104	9606.ENSP00000362937
1105	9606.ENSP00000284049
1106	9606.ENSP00000377747
1107	9606.ENSP00000369716
1108	9606.ENSP00000349508
1111	9606.ENSP00000388648
1112	9606.ENSP00000261302
1113	9606.ENSP00000216492
1114	9606.ENSP00000368244
1116	9606.ENSP00000255409
1117	9606.ENSP00000358763
1119	9606.ENSP00000265689
1120	9606.ENSP00000384400
1121	9606.ENSP00000350386
1122	9606.ENSP00000355511
1123	9606.ENSP00000386741
1124	9606.ENSP00000222792
1128	9606.ENSP00000306490
1129	9606.ENSP00000319984
1130	9606.ENSP00000374443
1131	9606.ENSP00000255380
1132	9606.ENSP00000409378
1133	9606.ENSP00000372750
1134	9606.ENSP00000261007
1135	9606.ENSP00000385026
1136	9606.ENSP00000315602
1137	9606.ENSP00000359285
1138	9606.ENSP00000299565
1139	9606.ENSP00000407546
1140	9606.ENSP00000304290
1141	9606.ENSP00000357461
1142	9606.ENSP00000289957
1143	9606.ENSP00000261751
1144	9606.ENSP00000258385
1145	9606.ENSP00000293780
1146	9606.ENSP00000374145
1147	9606.ENSP00000359424
1149	9606.ENSP00000320209
1152	9606.ENSP00000299198
1153	9606.ENSP00000322887
1154	9606.ENSP00000409346
1155	9606.ENSP00000221855
1158	9606.ENSP00000221476
1159	9606.ENSP00000300283
1160	9606.ENSP00000254035
1161	9606.ENSP00000265038
1163	9606.ENSP00000311083
1164	9606.ENSP00000364976
1173	9606.ENSP00000292807
1174	9606.ENSP00000336666
1175	9606.ENSP00000263270
1176	9606.ENSP00000325369
1178	9606.ENSP00000221804
1179	9606.ENSP00000234701
1180	9606.ENSP00000339867
1181	9606.ENSP00000265593
1182	9606.ENSP00000261514
1183	9606.ENSP00000370213
1184	9606.ENSP00000365256
1185	9606.ENSP00000234488
1186	9606.ENSP00000372193
1187	9606.ENSP00000332771
1188	9606.ENSP00000364831
1191	9606.ENSP00000315130
1193	9606.ENSP00000358460
1195	9606.ENSP00000394734
1196	9606.ENSP00000354856
1198	9606.ENSP00000378505
1200	9606.ENSP00000299427
1203	9606.ENSP00000366673
1207	9606.ENSP00000433919
1208	9606.ENSP00000259938
1209	9606.ENSP00000336994
1211	9606.ENSP00000242285
1212	9606.ENSP00000309415
1213	9606.ENSP00000269122
1215	9606.ENSP00000250378
1230	9606.ENSP00000296140
1232	9606.ENSP00000441600
1233	9606.ENSP00000332659
1234	9606.ENSP00000292303
1235	9606.ENSP00000339393
1236	9606.ENSP00000246657
1237	9606.ENSP00000326432
1238	9606.ENSP00000273145
1240	9606.ENSP00000311733
1241	9606.ENSP00000307445
1244	9606.ENSP00000359478
1258	9606.ENSP00000251102
1259	9606.ENSP00000384264
1260	9606.ENSP00000328478
1261	9606.ENSP00000272602
1262	9606.ENSP00000369268
1263	9606.ENSP00000361275
1264	9606.ENSP00000252456
1265	9606.ENSP00000263097
1266	9606.ENSP00000359225
1267	9606.ENSP00000377470
1269	9606.ENSP00000363596
1270	9606.ENSP00000355370
1271	9606.ENSP00000242338
1272	9606.ENSP00000325660
1282	9606.ENSP00000364979
1284	9606.ENSP00000353654
1286	9606.ENSP00000379866
1287	9606.ENSP00000331902
1288	9606.ENSP00000361290
1289	9606.ENSP00000360882
1291	9606.ENSP00000355180
1293	9606.ENSP00000295550
1294	9606.ENSP00000332371
1295	9606.ENSP00000261037
1296	9606.ENSP00000305913
1298	9606.ENSP00000361834
1299	9606.ENSP00000341640
1300	9606.ENSP00000243222
1301	9606.ENSP00000359114
1302	9606.ENSP00000363840
1303	9606.ENSP00000325146
1306	9606.ENSP00000364140
1307	9606.ENSP00000362776
1308	9606.ENSP00000340937
1311	9606.ENSP00000222271
1312	9606.ENSP00000354511
1314	9606.ENSP00000357048
1315	9606.ENSP00000249923
1316	9606.ENSP00000419923
1317	9606.ENSP00000363329
1318	9606.ENSP00000259392
1325	9606.ENSP00000366248
1326	9606.ENSP00000263056
1327	9606.ENSP00000253452
1329	9606.ENSP00000258424
1337	9606.ENSP00000229379
1339	9606.ENSP00000287490
1340	9606.ENSP00000246554
1345	9606.ENSP00000297564
1346	9606.ENSP00000292907
1347	9606.ENSP00000359098
1349	9606.ENSP00000417656
1350	9606.ENSP00000247655
1351	9606.ENSP00000321260
1352	9606.ENSP00000261643
1353	9606.ENSP00000299335
1355	9606.ENSP00000016171
1356	9606.ENSP00000264613
1358	9606.ENSP00000222481
1359	9606.ENSP00000296046
1360	9606.ENSP00000282957
1361	9606.ENSP00000181383
1362	9606.ENSP00000225719
1363	9606.ENSP00000386104
1366	9606.ENSP00000353475
1368	9606.ENSP00000339157
1369	9606.ENSP00000359446
1370	9606.ENSP00000319464
1371	9606.ENSP00000264193
1373	9606.ENSP00000402608
1374	9606.ENSP00000265641
1375	9606.ENSP00000312189
1376	9606.ENSP00000360541
1378	9606.ENSP00000356016
1379	9606.ENSP00000421736
1380	9606.ENSP00000356024
1381	9606.ENSP00000299529
1382	9606.ENSP00000357204
1384	9606.ENSP00000315013
1385	9606.ENSP00000387699
1386	9606.ENSP00000264110
1387	9606.ENSP00000262367
1389	9606.ENSP00000228865
1390	9606.ENSP00000265372
1392	9606.ENSP00000276571
1393	9606.ENSP00000274368
1394	9606.ENSP00000381333
1395	9606.ENSP00000340943
1396	9606.ENSP00000332449
1397	9606.ENSP00000328521
1398	9606.ENSP00000300574
1399	9606.ENSP00000346300
1400	9606.ENSP00000321606
1401	9606.ENSP00000255030
1404	9606.ENSP00000274341
1406	9606.ENSP00000221996
1407	9606.ENSP00000008527
1408	9606.ENSP00000406751
1409	9606.ENSP00000291554
1410	9606.ENSP00000227251
1411	9606.ENSP00000225387
