"uid" "id" "ensembleid" "symbol"
452 "922" "9606.ENSP00000357156" "CD5L"
453 "924" "9606.ENSP00000312027" "CD7"
454 "925" "9606.ENSP00000283635" "CD8A"
455 "928" "9606.ENSP00000009180" "CD9"
456 "929" "9606.ENSP00000304236" "CD14"
457 "930" "9606.ENSP00000437940" "CD19"
458 "933" "9606.ENSP00000085219" "CD22"
459 "939" "9606.ENSP00000266557" "CD27"
460 "940" "9606.ENSP00000324890" "CD28"
461 "941" "9606.ENSP00000264246" "CD80"
462 "942" "9606.ENSP00000332049" "CD86"
463 "943" "9606.ENSP00000263932" "TNFRSF8"
464 "944" "9606.ENSP00000223795" "TNFSF8"
465 "945" "9606.ENSP00000262262" "CD33"
466 "946" "9606.ENSP00000401502" "SIGLEC6"
467 "947" "9606.ENSP00000310036" "CD34"
468 "948" "9606.ENSP00000308165" "CD36"
469 "949" "9606.ENSP00000261693" "SCARB1"
470 "950" "9606.ENSP00000264896" "SCARB2"
471 "951" "9606.ENSP00000325708" "CD37"
472 "952" "9606.ENSP00000226279" "CD38"
473 "954" "9606.ENSP00000347213" "ENTPD2"
474 "958" "9606.ENSP00000361359" "CD40"
475 "959" "9606.ENSP00000359663" "CD40LG"
476 "961" "9606.ENSP00000355361" "CD47"
477 "962" "9606.ENSP00000357025" "CD48"
478 "965" "9606.ENSP00000358501" "CD58"
479 "966" "9606.ENSP00000340210" "CD59"
480 "967" "9606.ENSP00000257857" "CD63"
481 "969" "9606.ENSP00000228434" "CD69"
482 "970" "9606.ENSP00000245903" "CD70"
483 "973" "9606.ENSP00000221972" "CD79A"
484 "974" "9606.ENSP00000376544" "CD79B"
485 "975" "9606.ENSP00000263645" "CD81"
486 "976" "9606.ENSP00000242786" "ADGRE5"
487 "977" "9606.ENSP00000324101" "CD151"
488 "978" "9606.ENSP00000364212" "CDA"
489 "983" "9606.ENSP00000378699" "CDK1"
490 "987" "9606.ENSP00000349629" "LRBA"
